Name,Bereich,Link,Email,Ort,Hinweis,Einrichtung,Standort,Status (Trinh),Webseite,Art,Niveau,Aktion,Gmail,Startdatum,Status Phuong|Hofa,Status - Trung (Hanoi),Status Minh (Berlin),Cong|Refa|München,Last edited time,Status Quynh|Hofa
Auszubildender zum/zur Pflegefachmann/ -frau (m/w/d),Pflege,https://www.azubiyo.de/stellenanzeigen/auszubildender-zum-zur-pflegefachmann--frau-m-w-d_alloheim-senioren-residenzen_89b84ae9/#,,Niedersachsen,keine Email,"Alloheim Senioren-Residenz ""Brunswik""",,keine Email,https://jobfinder.alloheim.de/offer/auszubildender-zum-zur-pflegefachma/620138,Altenheim,keine Angabe,"October 22, 2022",,,Not started,Not started,Not started,Not started,"January 15, 2023 10:24 PM",Not started
Ausbildung Pflegefachfrau/ Pflegefachmann (w/m/d) zum 01.08.2023,Pflege,https://www.azubiyo.de/stellenanzeigen/ausbildung-pflegefachfrau-pflegefachmann-w-m-d-zum_asklepios-kliniken_gdec188a/,,Niedersachsen,keine Email,Asklepios Harzkliniken GmbH,,keine Email,,Krankenhaus,keine Angabe,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
Ausbildung Pflegefachkraft (m/w/d),Pflege,https://www.ausbildung.de/stellen/ausbildung-pflegefachkraft-m-w-d-bei-pflege-hoch-8-e-v-in-osterode-am-harz-6917aedd-cdc1-4f54-8211-80b806692dba/,,Niedersachsen,mailto:info@pflegehoch8.de?subject=Bewerbung%20zum%20Jobangebot%20%26quot%3BAusbildung%20zur%20Pflegefachkraft%20%28m%2Fw%2Fd%29%26quot%3B%20auf%20https%3A%2F%2Fpflegehoch8.de,Pflege hoch 8 e.V.,"Burgholte Seniorenwohnanlagen - Schillerstraße 27, 37520 Osterode am Harz",Email gesendet,https://pflegehoch8.de/job/ausbildung-zur-pflegefachkraft-m-w-d,Altenheim,keine Angabe,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
Ausbildung zum Pflegefachmann/frau (m/w/d) in der Altenpflege,Pflege,https://www.ausbildung.de/stellen/ausbildung-zum-pflegefachmann-frau-m-w-d-in-der-altenpflege-bei-cura-seniorenwohn-und-pflegeheime-dienstleistungs-gmbh-in-stadtoldendorf-a98bf9d2-95c9-44e8-9846-d0f74e3c3c07/,,Niedersachsen,mailto:bewerbung@wirpflegenazubis.de,CURA Seniorenwohn- und Pflegeheime Dienstleistungs GmbH,"Seniorenresidenz Unter der Homburg GmbH - Steinkuhle 3, 37627 Stadtoldendorf",Email gesendet,https://www.wirpflegenazubis.de/,Altenheim,keine Angabe,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
Ausbildung Pflegefachmann/-frau (m/w/d),Pflege,https://www.ausbildung.de/stellen/ausbildung-pflegefachmann-frau-m-w-d-bei-senioren-und-pflegeheim-gutshof-bostel-gmbh-co-kg-in-celle-3bbd607b-020b-4acd-b73d-dcf575703953/,,Niedersachsen,Deutsch B2,Senioren- und Pflegeheim Gutshof Bostel GmbH & Co. KG,"Seniorenresidenz Gutshof Bostel - Tränkeweg 3, 29229 Celle",nicht möglich,,Altenheim,B2,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
Ausbildung Pflegefachmann/-frau (m/w/d),Pflege,https://www.ausbildung.de/stellen/ausbildung-pflegefachmann-frau-m-w-d-bei-seniorenresidenz-woelper-ring-gmbh-in-neustadt-am-ruebenberge-cbfabe97-319f-49b0-a652-8555c757cc83/,,Niedersachsen,Deutsch B2,Seniorenresidenz Wölper Ring GmbH,,nicht möglich,,Altenheim,B2,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
Ausbildung Pflegefachmann/-frau (m/w/d),Pflege,https://www.ausbildung.de/stellen/ausbildung-pflegefachmann-frau-m-w-d-bei-wbs-training-schulen-ggmbh-in-oldenburg-oldb-f7ef9b94-1f33-48ff-a85c-e187050640d1/,,Niedersachsen,oldenburg@wbs-schulen.de,WBS TRAINING SCHULEN gGmbH,"Ritterstraße 13 - 15, 26122 Oldenburg (Oldb)",positiv,,Allgemein,keine Angabe,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
Ausbildung Pflegefachmann/-frau (m/w/d),Pflege,https://www.ausbildung.de/stellen/ausbildung-pflegefachmann-frau-m-w-d-bei-land-niedersachsen-in-moringen-a3f0fef8-3bc6-4dfd-aee1-ce307d5c5965/,,Niedersachsen,mailto:pflegefachschule@mrvzn-moringen.niedersachsen.de,Land Niedersachsen,Maßregelvollzugszentrum Niedersachsen (MRVZN) - Moringen,Email gesendet,,Krankenhaus,keine Angabe,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
Ausbildung zum/zur Pflegefachmann/-frau (m/w/d),Pflege,https://www.ausbildung.de/stellen/ausbildung-zum-zur-pflegefachmann-frau-m-w-d-bei-akh-gruppe-in-celle-9094aa7a-8565-43db-8083-d75ac75c7f1b/,,Niedersachsen,https://mail.google.com/mail/u/3/#inbox/QgrcJHsNpWHnhHCWxqlWRQwphcBnbpjlQwb,AKH-Gruppe,,,,Allgemein,B2,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 7, 2022 12:42 PM",Not started
Ausbildung Pflegefachmann/Pflegefachfrau (m/w/d),Pflege,https://www.ausbildung.de/stellen/ausbildung-pflegefachmann-pflegefachfrau-m-w-d-bei-helios-kliniken-gmbh-in-uelzen-5a9c7364-af0a-4052-9f88-72458dac92a0/,,Niedersachsen,wencke.strutz@helios-gesundheit.de,Helios Kliniken GmbH,,Email gesendet,https://www.helios-gesundheit.de/kliniken/helmstedt/unser-haus/karriere/helios-bildungszentrum-helmstedt/bewerbung/,Krankenhaus,keine Angabe,"October 22, 2022",,,Not started,Not started,Not started,Not started,"November 6, 2022 11:05 PM",Not started
